"Reference","Value","Qty","Datasheet","Footprint","DNP"
"C1,C4","100p","2","~","Capacitor_SMD:C_1206_3216Metric",""
"C2,C6","220u","2","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"C3","3p3","1","~","Capacitor_SMD:C_1206_3216Metric",""
"C5,C13","100u","2","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C7,C10,C19,C20","100n","4","~","Capacitor_SMD:C_1206_3216Metric",""
"C8,C9,C14,C18","10u","4","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C11,C15","22p","2","~","Capacitor_SMD:C_1206_3216Metric",""
"C12,C17","22u","2","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C16","220p","1","~","Capacitor_SMD:C_1206_3216Metric",""
"C21,C22","220n","2","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"J1,J4","XLR3","2","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J3,J5","Conn_01x02","2","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J7","Conn_02x05_Odd_Even","1","~","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"R1,R10,R21,R31","2k7","4","~","Resistor_SMD:R_1206_3216Metric",""
"R2,R12,R26","1k8","3","~","Resistor_SMD:R_1206_3216Metric",""
"R3,R13","33R","2","~","Resistor_SMD:R_1206_3216Metric",""
"R4,R8,R9,R16,R20","2k2","5","~","Resistor_SMD:R_1206_3216Metric",""
"R5,R7,R15","3k3","3","~","Resistor_SMD:R_1206_3216Metric",""
"R6,R18,R22","100k","3","~","Resistor_SMD:R_1206_3216Metric",""
"R11,R14","1k","2","~","Resistor_SMD:R_1206_3216Metric",""
"R17","2k","1","~","Resistor_SMD:R_1206_3216Metric",""
"R19,R25,R28,R35","10k","4","~","Resistor_SMD:R_1206_3216Metric",""
"R23,R30","47k","2","~","Resistor_SMD:R_1206_3216Metric",""
"R24,R29","10M","2","~","Resistor_SMD:R_1206_3216Metric",""
"R27","22k","1","~","Resistor_SMD:R_1206_3216Metric",""
"R32,R39,R40,R41,R42","0R","5","~","Resistor_SMD:R_1206_3216Metric",""
"R33","330R","1","~","Resistor_SMD:R_1206_3216Metric",""
"R34,R36","6k2","2","~","Resistor_SMD:R_1206_3216Metric",""
"RV1,RV2","500R","2","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"RV3","100k log","1","~","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"U1,U2","OPA1679","2","http://www.ti.com/lit/ds/symlink/opa1678.pdf","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
